purpose,category
식사,"'육류,고기', '해물,생선', '회', '국수', '초밥,롤', '삼계탕', '순대', '치킨', '갈비', '중식', '오리', '한식뷔페', '분식', '칼국수', '냉면', '양식', '닭요리', '술집', '호프,요리주점', '한식', '사철탕,영양탕', '두부전문점', '해장국', '중국요리', '햄버거', '설렁탕', '네네치킨', '실내포장마차', '한정식', '곱창,막창', '삼겹살', '7번가피자', '국밥', '돈까스,우동', '샐러드', '킹콩부대찌개', '피자', '조개', '이비가짬뽕', '제주은희네해장국', '칵테일바', '죽', 'BHC치킨', '피자와치킨의러브레터', '일식', '호맥', '교촌치킨', '야식', '샤브샤브', '기사식당', '피자헛', '반올림피자샵', '양꼬치', '족발,보쌈', '뷔페', '이것이국밥이다', '장어', '역전할머니맥주', '샤브마니아', '멕시칸,브라질', '바르다김선생', '불고기,두루치기', '육회본가', '가르텐비어', '밀키트', '굽네치킨', '와인바', '60계', '매운탕,해물탕', '굴,전복', '조마루감자탕', '큰맘할매순대국', '피자탑', '감자탕', '명륜진사갈비', '인쌩맥주', '아구', '게,대게', '일식집', '인도음식', '한마음정육식당', '한솥도시락', '쌈밥', '본도시락', '신전떡볶이', '불막열삼', '원조부안집', '참치회', '떡볶이', '샌드위치', '포차천국', '패밀리레스토랑', '해산물', '양철북', '일본식라면', '베트남음식', '롯데리아', '오태식해바라기치킨', '누구나홀딱반한닭', '퓨전요리', '음식점', '채선당', '홍익돈까스', '추어', '피슈마라홍탕', '빕스', '피자알볼로', '범맥주', '본죽', '자가제빵선명희피자', '닭강정', '에그드랍', '구내식당', '이탈리안', '찌개,전골', '금별맥주', '크라운호프', '미스터피자', '포케올데이', '일품양평해장국', '프랭크버거', '아시아음식', '족발신선생', '노랑통닭', '태국음식', '난타5000피자', '복어', '곰탕', '신마포갈매기', '푸라닭치킨', 'KFC', '페리카나', '본죽&비빔밥cafe', '곤지암할매소머리국밥', '도미노피자', '백스비어', '김복남맥주', '패스트푸드', '이화수전통육개장', '완미족발', '퓨전일식', '용우동', '두끼떡볶이', '고기뷔페', '설맥', '바닷가재', '꿩,타조', '멕시카나치킨', 'BBQ', '처갓집양념치킨', '오븐에빠진닭', '마왕족발', '남가네설악추어탕', '한신포차', '아웃백스테이크하우스', '써브웨이', '오뎅바', '곱창이야기', '이삭토스트', '투다리', '막창도둑', '양평해장국', '퓨전한식', '족발야시장', '호식이두마리치킨', '청년피자', '국수나무', '봉구비어', '동남아음식', '자담치킨', '인생건어물맥주', '사조회참치', '본가장수촌', '꾸브라꼬숯불두마리치킨', '집밥뚝딱', '퀴즈노스', '정직유부', '치킨플러스', '스테이크,립', '썬더치킨', '빽보이피자', '얌샘김밥', '버거킹', '우리할매떡볶이', '치킨신드롬', '포베이', '도시락', '꾸이한끼', '신의주찹쌀순대', '샐러디', '두찜', '북촌손만두', '김가네', '혼밥대왕', '퓨전중식', '더플레이스', '돈치킨', '삼산회관', '별난아재맥주', '주먹밥', '백채김치찌개', '버거앤프라이즈', '또래오래', '땅스부대찌개', '보배반점', '채식뷔페', '무지개맥주', '수제비', '맘스터치', '귀한족발', '치킨매니아', '오븐마루치킨', '스텔라떡볶이', '샤브쌈주머니', '생활맥주', '디디치킨', '33떡볶이', '스페인음식', '철판요리', '연안식당', '한촌설렁탕', '오봉집', '땅땅치킨', '맥도날드', '연돈볼카츠', '가장맛있는족발', '우쿠야', '쑝쑝돈까스', '이차돌', '바다양푼이동태탕', '어부네코다리조림', '두부', '경양카츠', '가마치통닭'"
카페/디저트,"'컴포즈커피', '파리바게뜨', '카페', '커피전문점', '배스킨라빈스', '제과,베이커리', '디저트카페', '픽미픽미아이스', '카페봄봄', '청자다방', '메가MGC커피', '떡,한과', '커피빈', '파스쿠찌', '오가다', '생과일전문점', '더벤티', '간식', '벌크커피', '빽다방', '아이스크림', '뚜레쥬르', '투썸플레이스', '팔공티', '식품', '도넛', '테마카페', '던킨', '이디야커피', '차,커피', '폴바셋', '라이브카페', '설빙', '삼송빵집', '청년다방', '전통찻집', '떡카페', '우지커피', '탐앤탐스', '무인카페', '과실음료,청량음료', '송사부수제쌀고로케', '할리스', '카페베네', '북카페', '달리는커피', '코바코', '다방', '갤러리카페', '베러먼데이커피', '떡보의하루', '셀렉토커피', '애견카페', '아이스크림판매', '하이오커피', '카페띠아모', '나뚜루', '하겐다즈', '드롭탑', '공차', '엔제리너스'"
기타,"'해수욕장,해변', '펜션', '유흥주점', '렌터카', '요리학원', '휴게소', '지명', '기념품판매', '라마다호텔', '전망대', '건설자재', '일본식주점', '롯데렌터카', '수상스포츠', '꼬지사께', '식품판매', '제과재료', '어린이집', '여행사', '공연기획', '패션잡화점', '미술관', 'CU', '바위', '관리,운영', '약국', '테마파크', '과일,채소가게', '벌툰', '식품가공,제조', '야영,캠핑장', '슈퍼마켓', '주류도매,주류유통', '정보 없음', '수영장', '식사준비', '호텔', '토대력', '승마장', '전통식품제조', '숲', '주차장', '자동차용품', '인테리어장식판매', '교차로', '롯데시네마', '전자제품판매', '유방외과', '민박', '체험여행', '특급호텔', 'GS칼텍스', '음료,주류제조', '크라우드PC', '상가,아케이드', '쓰레기,폐기물처리', '산', '빌라,주택', '철학원', '게스트하우스', '꽃집,꽃배달', '방앗간', '정육점', '하얏트호텔', '미용실', '쏘카존', '안경,렌즈', '주방용품', '장례식장', '연수원', '관광안내소', '아쿠아리움', '서점', '전기차 충전소', '세탁소', '공연장,연극극장', '사회복지시설', '수산물판매', '수목원,식물원', '민속촌', '어업', '주류판매', '게임방,PC방', '박물관', '목욕탕,사우나', '인테리어', '사진관,포토스튜디오', '조명기기판매', '반찬가게', '한복대여', '숙박', '의류판매', '하나로마트', '일반의원', '대형슈퍼', '콘도,리조트', '꽃마름', '메가박스', '공구,공작기계', '시장', '네일샵', '헬스클럽', '아파트', '농장,목장', '서비스,산업', '제주올레길', '고시원,고시텔', '관광농원', '무역업,중개업', '치어스', '매표소', '더하노이풋앤바디', '체형관리', '복권', '저수지', '인생극장', '농업', '보험사', '섬', '마을회관', '공원', '예식장', '서원', '홈즈앤루팡', '미술,공예', '베니키아 호텔', '휴대폰판매', '고양누리길', '명상', '산봉우리', '금융서비스', '반려동물훈련소', '새마을금고', '푸드코트', '관광지부속시설', '단체,협회', '정보화,체험마을', '유흥시설', '스포츠용품', '식품서비스업', '의류대여서비스', '보석,귀금속', '관광,명소', '건강원', '기대만족', '부동산중개업소', '영어학원', '성인용품', '아동복,유아복', '환경', '읍천리382', '침술,수지침', '페인트,도장', 'SK LPG충전소', '골프장', '백소정', '반려동물용품', '화랑', '입시학원', '안과', '느린마을양조장', '여관,모텔', '부동산컨설팅', '생활용품점', '르노코리아서비스', '면세점', '세븐일레븐', '자전거대여소', '독립서점', '문화시설', '중고차', '자전거,싸이클', '과일,채소재배', '고봉민김밥인', '기업', '제과기술학원', '제사음식', '문구,사무용품', '부동산서비스', '면행정복지센터', '체험학습장', '인터넷쇼핑몰', '시계', '부두', '청소대행', '둘레길', '골프용품'"
